TITLE,IMPORTANT POINTS,Rating,Date
Unmatched Crust and Fresh Mozzarella,"The Margherita pizza uses authentic San Marzano sauce and buffalo mozzarella. Crust is fermented for 48 hours giving it a light, airy Neapolitan texture with nice charring. Wood fire oven runs at 450C.",5,2026-01-10
Disappointing Vegan and Dairy-Free Options,Tried the vegan plant-based cheese pizza. The cheese substitute did not melt well and had a rubbery texture. Lack of vegetable toppings made it feel overpriced for what was offered.,2,2026-01-18
Fast Service but Loud Dining Environment,"Pizzas arrived in under 12 minutes on a busy Friday night. However, acoustics inside are terrible and background music was too loud to hold a normal conversation.",3,2026-01-29
Signature Truffle Mushroom Pizza is a Must Try,"Loaded with portobello mushrooms, fresh thyme, and white truffle oil. Cream base balance is spot on without making the crust soggy. Garlic dip on the side pairs perfectly.",5,2026-02-05
Overpriced Drinks and Small Dessert Portions,"Craft sodas and mocktails are priced high at 8 dollars each with mostly ice. The tiramisu tasted authentic with mascarpone and espresso, but portion size was tiny for the cost.",3,2026-02-14
Great Outdoor Patio for Groups,"Outdoor seating is heated, spacious, and pet friendly. Group combo deals offering two large specialty pies, salad, and garlic knots provide solid value for money.",4,2026-02-22
Gluten-Free Base Lacked Structure,"Ordered the gluten-free crust for the pepperoni pie. Base was overly crumbly and broke apart immediately when picked up. Standard toppings were fresh, but cross-contamination risk wasn't clearly stated by staff.",2,2026-03-02
Best Spicy Pepperoni and Hot Honey Combo,"The Diavola pie with spicy salami, chili flakes, and hot honey drizzle was phenomenal. Crust held up crisp under grease, and heat level was balanced without overpowering the sauce.",5,2026-03-15
Delivery Took Too Long and Arrived Lukewarm,"Online order took 75 minutes to arrive on a Sunday evening. Crust became chewy in the cardboard box and cheese had solidified. Recommended for dine-in only, not takeaway.",2,2026-03-28
Friendly Staff and Impressive Local Beer Selection,Staff provided quick recommendations and accommodated ingredient swaps without extra charges. Extensive local craft beer tap list that pairs nicely with heavy meat toppings.,5,2026-04-04
Kid Friendly Amenities and High Chairs,"Restaurant provides coloring sheets, crayons, and high chairs for toddlers. Personal mini-pizzas for kids come sliced into bite-sized portions with mild tomato sauce.",4,2026-04-19
Burrata Appetizer Was the Highlight,"Creamy fresh burrata served over roasted cherry tomatoes, balsamic glaze, and warm focaccia bread. Better than the main pizzas themselves.",5,2026-05-01
Cleanliness Needs Improvement in Restrooms,"Kitchen area was clean and visible from the dining room, but customer restrooms lacked soap and paper towels during peak hours. Service was otherwise average.",3,2026-05-16
Solid Lunch Special Deal,"Offers a lunch special from 11 AM to 3 PM: personal two-topping pizza, side Caesar salad, and fountain drink for 12 dollars. Fast prep time makes it ideal for quick office breaks.",4,2026-06-02
Underwhelming Dessert Pizza,Nutella and banana dessert pizza had dough that was undercooked in the center and overly sweet. Stick to the savory pizzas instead.,2,2026-06-20
